Lemma;ID;Eng Gloss;POS;Level;Word source;Ex. ID;Form ;Analysis;Example Sentence;Translation;Reference;Topic(s)
аббревиатура;5083;_;N.Fem.Inan;B2;LM;1;аббревиатура;Nom.Sing;_;_;_;_
аббревиатура;5084;_;N.Fem.Inan;B2;LM;2;аббревиатуру;Acc.Sing;_;_;_;_
абзац;5085;_;N.Masc.Inan;B2;Golosa, LM;1;абзацем;Ins.Sing;_;_;_;_
абзац;5086;_;N.Masc.Inan;B2;Golosa, LM;2;абзац;Nom.Sing;_;_;_;_
абзац;5087;_;N.Masc.Inan;B2;Golosa, LM;3;абзацев;Gen.Plur;_;_;_;_
аборт;5088;_;N.Masc.Inan;B2;LM;1;аборта;Gen.Sing;_;_;_;_
аборт;5089;_;N.Masc.Inan;B2;LM;2;аборты;Nom.Plur;_;_;_;_
аборт;5090;_;N.Masc.Inan;B2;LM;3;абортах;Loc.Plur;_;_;_;_
абрикос;5091;_;N.Masc.Inan;B2;LM;1;абрикосы;Nom.Plur;_;_;_;_
абрикос;5092;_;N.Masc.Inan;B2;LM;2;абрикоса;Gen.Sing;_;_;_;_
абрикос;5093;_;N.Masc.Inan;B2;LM;3;абрикос;Nom.Sing;_;_;_;_
абсолютный;5094;_;A;B2;LM;1;абсолютные;Nom.Plur;_;_;_;_
абсолютный;5095;_;A;B2;LM;2;абсолютного;Gen.Masc.Sing;_;_;_;_
абсолютный;5096;_;A;B2;LM;3;абсолютный;Nom.Masc.Sing;_;_;_;_
абсурд;5097;_;N.Masc.Inan;B2;LM;1;абсурда;Gen.Sing;_;_;_;_
абсурд;5098;_;N.Masc.Inan;B2;LM;2;абсурд;Nom.Sing;_;_;_;_
абсурд;5099;_;N.Masc.Inan;B2;LM;3;абсурду;Dat.Sing;_;_;_;_
абсурдный;5100;_;A;B2;LM;1;абсурдными;Ins.Plur;_;_;_;_
абсурдный;5101;_;A;B2;LM;2;абсурдным;Ins.Masc.Sing;_;_;_;_
абсурдный;5102;_;A;B2;LM;3;абсурдной;Ins.Fem.Sing;_;_;_;_
абхазец;5103;_;N.Masc.Anim;B2;LM;1;абхазцев;Gen.Plur;_;_;_;_
абхазец;5104;_;N.Masc.Anim;B2;LM;2;абхазцы;Nom.Plur;_;_;_;_
абхазец;5105;_;N.Masc.Anim;B2;LM;3;абхазца;Acc.Sing;_;_;_;_
авария;5106;_;N.Fem.Inan;B2;LM;1;аварии;Gen.Sing;_;_;_;_
авария;5107;_;N.Fem.Inan;B2;LM;2;авариях;Loc.Plur;_;_;_;_
авария;5108;_;N.Fem.Inan;B2;LM;3;авариями;Ins.Plur;_;_;_;_
австралиец;5109;_;N.Masc.Anim;B2;LM, Поехали;1;австралийцем;Ins.Sing;_;_;_;_
австралиец;5110;_;N.Masc.Anim;B2;LM, Поехали;2;австралийцами;Ins.Plur;_;_;_;_
австралиец;5111;_;N.Masc.Anim;B2;LM, Поехали;3;австралиец;Nom.Sing;_;_;_;_
австриец;5112;_;N.Masc.Anim;B2;LM;1;австрийца;Gen.Sing;_;_;_;_
автобиография;5113;_;N.Fem.Inan;B2;Golosa, LM, Кс;1;автобиография;Nom.Sing;_;_;_;_
автобиография;5114;_;N.Fem.Inan;B2;Golosa, LM, Кс;2;автобиографии;Gen.Sing;_;_;_;_
интервью;5115;_;N.Neut.Inan;B2;Golosa, MiP, LM;1;интервью;Loc.Sing;_;_;_;_
бюро;5116;_;N.Neut.Inan;B2;Golosa, MiP, LM;1;бюро;Gen.Sing;_;_;_;_
автономия;5117;_;N.Fem.Inan;B2;LM;1;автономии;Gen.Sing;_;_;_;_
автономия;5118;_;N.Fem.Inan;B2;LM;2;автономию;Acc.Sing;_;_;_;_
автономный;5119;_;A;B2;LM;1;автономном;Loc.Masc.Sing;_;_;_;_
автономный;5120;_;A;B2;LM;2;автономного;Gen.Neut.Sing;_;_;_;_
автономный;5121;_;A;B2;LM;3;автономная;Nom.Fem.Sing;_;_;_;_
автоответчик;5122;_;N.Masc.Inan;B2;Golosa, LM;1;автоответчик;Nom.Sing;_;_;_;_
авторитет;5123;_;N.Masc.Inan;B2;LM;1;авторитет;Acc.Sing;_;_;_;_
авторитет;5124;_;N.Masc.Inan;B2;LM;2;авторитетом;Ins.Sing;_;_;_;_
авторитет;5125;_;N.Masc.Inan;B2;LM;3;авторитетами;Ins.Plur;_;_;_;_
агент;5126;_;N.Masc.Anim;B2;LM;1;агент;Nom.Sing;_;_;_;_
агент;5127;_;N.Masc.Inan;B2;LM;2;агентов;Gen.Plur;_;_;_;_
агент;5128;_;N.Masc.Anim;B2;LM;3;агентами;Ins.Plur;_;_;_;_
агентство;5129;_;N.Neut.Inan;B2;LM;1;агентства;Gen.Sing;_;_;_;_
агентство;5130;_;N.Neut.Inan;B2;LM;2;агентство;Nom.Sing;_;_;_;_
агентство;5131;_;N.Neut.Inan;B2;LM;3;агентством;Ins.Sing;_;_;_;_
агрессивный;5132;_;A;B2;LM;1;агрессивный;Nom.Masc.Sing;_;_;_;_
агрессивный;5133;_;A;B2;LM;2;агрессивной;Gen.Fem.Sing;_;_;_;_
агрессивный;5134;_;A;B2;LM;3;агрессивными;Ins.Plur;_;_;_;_
ад;5135;_;N.Masc.Inan;B2;LM;1;ада;Gen.Sing;_;_;_;_
ад;5136;_;N.Masc.Inan;B2;LM;2;ад;Acc.Sing;_;_;_;_
ад;5137;_;N.Masc.Inan;B2;LM;3;аду;Loc.Sing;_;_;_;_
адаптироваться;5138;_;V;B2;LM;1;адаптироваться;Inf;_;_;_;_
адаптироваться;5139;_;V;B2;LM;2;адаптируются;Plur.3.Pres/Fut;_;_;_;_
адаптироваться;5140;_;V;B2;LM;3;адаптировались;Plur.Past;_;_;_;_
адвокат;5141;_;N.Masc.Anim;B2;LM;1;адвокат;Nom.Sing;_;_;_;_
адвокат;5142;_;N.Masc.Anim;B2;LM;2;адвокаты;Nom.Plur;_;_;_;_
адвокат;5143;_;N.Masc.Anim;B2;LM;3;адвокатов;Gen.Plur;_;_;_;_
адекватный;5144;_;A;B2;LM;1;адекватная;Nom.Fem.Sing;_;_;_;_
адекватный;5145;_;A;B2;LM;2;адекватных;Gen.Plur;_;_;_;_
адекватный;5146;_;A;B2;LM;3;адекватным;Ins.Neut.Sing;_;_;_;_
административный;5147;_;A;B2;LM;1;административной;Gen.Fem.Sing;_;_;_;_
административный;5148;_;A;B2;LM;2;административных;Gen.Plur;_;_;_;_
административный;5149;_;A;B2;LM;3;административного;Gen.Masc.Sing;_;_;_;_
администратор;5150;_;N.Masc.Anim;B2;MiP, LM, МН;1;администратору;Dat.Sing;_;_;_;_
администратор;5151;_;N.Masc.Anim;B2;MiP, LM, МН;2;администратор;Nom.Sing;_;_;_;_
азартный;5152;_;A;B2;LM;1;азартные;Nom.Plur;_;_;_;_
азартный;5153;_;A;B2;LM;2;азартную;Acc.Fem.Sing;_;_;_;_
азартный;5154;_;A;B2;LM;3;азартному;Dat.Masc.Sing;_;_;_;_
академик;5155;_;N.Masc.Anim;B2;LM;1;академик;Nom.Sing;_;_;_;_
академик;5156;_;N.Masc.Anim;B2;LM;2;академика;Gen.Sing;_;_;_;_
академик;5157;_;N.Masc.Anim;B2;LM;3;академиком;Ins.Sing;_;_;_;_
акварель;5158;_;N.Fem.Inan;B2;LM;1;акварелью;Ins.Sing;_;_;_;_
аккуратный;5159;_;A;B2;LM, МН;1;аккуратным;Ins.Masc.Sing;_;_;_;_
аккуратный;5160;_;A;B2;LM, МН;2;поаккуратнее;Comp;_;_;_;_
аккуратный;5161;_;A;B2;LM, МН;3;аккуратные;Acc.Plur;_;_;_;_
акт;5162;_;N.Masc.Inan;B2;LM;1;акт;Nom.Sing;_;_;_;_
акт;5163;_;N.Masc.Inan;B2;LM;2;акта;Gen.Sing;_;_;_;_
акт;5164;_;N.Masc.Inan;B2;LM;3;актов;Gen.Plur;_;_;_;_
актер;5165;_;N.Masc.Anim;B2;LM;1;актёр;Nom.Sing;_;_;_;_
актер;5166;_;N.Masc.Anim;B2;LM;2;актеры;Nom.Plur;_;_;_;_
актер;5167;_;N.Masc.Anim;B2;LM;3;актеров;Gen.Plur;_;_;_;_
актив;5168;_;N.Masc.Inan;B2;LM;1;активов;Gen.Plur;_;_;_;_
актив;5169;_;N.Masc.Inan;B2;LM;2;активы;Nom.Plur;_;_;_;_
актив;5170;_;N.Masc.Inan;B2;LM;3;активами;Ins.Plur;_;_;_;_
актриса;5171;_;N.Fem.Anim;B2;LM;1;актриса;Nom.Sing;_;_;_;_
актриса;5172;_;N.Fem.Anim;B2;LM;2;актрису;Acc.Sing;_;_;_;_
актриса;5173;_;N.Fem.Anim;B2;LM;3;актрисы;Gen.Sing;_;_;_;_
актуальный;5174;_;A;B2;LM;1;актуальна;Fem.Sing;_;_;_;_
актуальный;5175;_;A;B2;LM;2;актуально;Neut.Sing;_;_;_;_
актуальный;5176;_;A;B2;LM;3;актуальных;Gen.Plur;_;_;_;_
акцент;5177;_;N.Masc.Inan;B2;LM;1;акцент;Acc.Sing;_;_;_;_
акцент;5178;_;N.Masc.Inan;B2;LM;2;акцентом;Ins.Sing;_;_;_;_
акцент;5179;_;N.Masc.Inan;B2;LM;3;акцента;Gen.Sing;_;_;_;_
акционерный;5180;_;A;B2;LM;1;акционерных;Gen.Plur;_;_;_;_
акционерный;5181;_;A;B2;LM;2;акционерное;Inan.Acc.Neut.Sing;_;_;_;_
акционерный;5182;_;A;B2;LM;3;акционерного;Gen.Neut.Sing;_;_;_;_
акция;5183;_;N.Fem.Inan;B2;LM;1;акций;Gen.Plur;_;_;_;_
акция;5184;_;N.Fem.Inan;B2;LM;2;акция;Nom.Sing;_;_;_;_
акция;5185;_;N.Fem.Inan;B2;LM;3;акции;Nom.Plur;_;_;_;_
албанец;5186;_;N.Masc.Anim;B2;LM;1;албанцами;Ins.Plur;_;_;_;_
албанец;5187;_;N.Masc.Anim;B2;LM;2;албанцы;Nom.Plur;_;_;_;_
албанец;5188;_;N.Masc.Anim;B2;LM;3;албанцев;Gen.Plur;_;_;_;_
алкоголь;5189;_;N.Masc.Inan;B2;LM;1;алкоголя;Gen.Sing;_;_;_;_
алкоголь;5190;_;N.Masc.Inan;B2;LM;2;алкоголь;Acc.Sing;_;_;_;_
алкоголь;5191;_;N.Masc.Inan;B2;LM;3;алкоголю;Dat.Sing;_;_;_;_
аллергия;5192;_;N.Fem.Inan;B2;Golosa, LM, Поехали;1;аллергии;Gen.Sing;_;_;_;_
аллергия;5193;_;N.Fem.Inan;B2;Golosa, LM, Поехали;2;аллергия;Nom.Sing;_;_;_;_
аллергия;5194;_;N.Fem.Inan;B2;Golosa, LM, Поехали;3;аллергией;Ins.Sing;_;_;_;_
аллея;5195;_;N.Fem.Inan;B2;LM;1;аллеях;Loc.Plur;_;_;_;_
аллея;5196;_;N.Fem.Inan;B2;LM;2;аллеями;Ins.Plur;_;_;_;_
аллея;5197;_;N.Fem.Inan;B2;LM;3;аллеям;Dat.Plur;_;_;_;_
альпинист;5198;_;N.Masc.Anim;B2;LM;1;альпинисты;Nom.Plur;_;_;_;_
альпинист;5199;_;N.Masc.Anim;B2;LM;2;альпиниста;Acc.Sing;_;_;_;_
альпинист;5200;_;N.Masc.Anim;B2;LM;3;альпинистами;Ins.Plur;_;_;_;_
ананас;5201;_;N.Masc.Inan;B2;LM;1;ананасы;Acc.Plur;_;_;_;_
ананас;5202;_;N.Masc.Inan;B2;LM;2;ананас;Acc.Sing;_;_;_;_
ананас;5203;_;N.Masc.Inan;B2;LM;3;ананасов;Gen.Plur;_;_;_;_
анатомия;5204;_;N.Fem.Inan;B2;LM;1;анатомию;Acc.Sing;_;_;_;_
анатомия;5205;_;N.Fem.Inan;B2;LM;2;анатомии;Gen.Sing;_;_;_;_
ангел;5206;_;N.Masc.Anim;B2;LM;1;ангелы;Nom.Plur;_;_;_;_
ангел;5207;_;N.Masc.Anim;B2;LM;2;ангел;Nom.Sing;_;_;_;_
ангел;5208;_;N.Masc.Anim;B2;LM;3;ангелом;Ins.Sing;_;_;_;_
анекдот;5209;_;N.Masc.Inan;B2;LM;1;анекдот;Nom.Sing;_;_;_;_
анекдот;5210;_;N.Masc.Inan;B2;LM;2;анекдоты;Nom.Plur;_;_;_;_
анекдот;5211;_;N.Masc.Inan;B2;LM;3;анекдотов;Gen.Plur;_;_;_;_
антибиотик;5212;_;N.Masc.Inan;B2;Golosa, LM;1;антибиотиков;Gen.Plur;_;_;_;_
антибиотик;5213;_;N.Masc.Inan;B2;Golosa, LM;2;антибиотикам;Dat.Plur;_;_;_;_
антисанитарный;5214;_;A;B2;LM;1;антисанитарных;Loc.Plur;_;_;_;_
антисемитизм;5215;_;N.Masc.Inan;B2;LM;1;антисемитизм;Acc.Sing;_;_;_;_
античный;5216;_;A;B2;LM;1;античных;Gen.Plur;_;_;_;_
античный;5217;_;A;B2;LM;2;античной;Gen.Fem.Sing;_;_;_;_
античный;5218;_;A;B2;LM;3;античная;Nom.Fem.Sing;_;_;_;_
антракт;5219;_;N.Masc.Inan;B2;LM, МН;1;антракте;Loc.Sing;_;_;_;_
аплодировать;5220;_;V;B2;LM;1;аплодировать;Inf;_;_;_;_
аплодировать;5221;_;V;B2;LM;2;аплодировали;Plur.Past;_;_;_;_
аплодировать;5222;_;V;B2;LM;3;аплодируя;Pres/Fut;_;_;_;_
аплодисменты;5223;_;N.Inan;B2;LM;1;аплодисменты;Nom.Plur;_;_;_;_
аплодисменты;5224;_;N.Inan;B2;LM;2;аплодисментами;Ins.Plur;_;_;_;_
аплодисменты;5225;_;N.Inan;B2;LM;3;аплодисментов;Gen.Plur;_;_;_;_
араб;5226;_;N.Masc.Anim;B2;Golosa, LM;1;арабов;Gen.Plur;_;_;_;_
араб;5227;_;N.Masc.Anim;B2;Golosa, LM;2;арабы;Nom.Plur;_;_;_;_
араб;5228;_;N.Masc.Anim;B2;Golosa, LM;3;арабами;Ins.Plur;_;_;_;_
арбуз;5229;_;N.Masc.Inan;B2;MiP, LM, Поехали;1;арбузы;Acc.Plur;_;_;_;_
арбуз;5230;_;N.Masc.Inan;B2;MiP, LM, Поехали;2;арбуз;Nom.Sing;_;_;_;_
аргентинец;5231;_;N.Masc.Anim;B2;LM;1;аргентинцу;Dat.Sing;_;_;_;_
аргентинец;5232;_;N.Masc.Anim;B2;LM;2;аргентинец;Nom.Sing;_;_;_;_
аргумент;5233;_;N.Masc.Inan;B2;LM;1;аргументы;Nom.Plur;_;_;_;_
аргумент;5234;_;N.Masc.Inan;B2;LM;2;аргументов;Gen.Plur;_;_;_;_
аргумент;5235;_;N.Masc.Inan;B2;LM;3;аргумент;Nom.Sing;_;_;_;_
аргументировать;5236;_;V;B2;LM;1;аргументировать;Inf;_;_;_;_
аргументировать;5237;_;A;B2;LM;2;аргументированно;Neut.Sing;_;_;_;_
аренда;5238;_;N.Fem.Inan;B2;LM;1;аренду;Acc.Sing;_;_;_;_
аренда;5239;_;N.Fem.Inan;B2;LM;2;аренды;Gen.Sing;_;_;_;_
арендовать;5240;_;V;B2;LM;1;арендуют;Plur.3.Pres/Fut;_;_;_;_
арендовать;5241;_;A;B2;LM;2;арендуемых;Gen.Plur;_;_;_;_
арендовать;5242;_;V;B2;LM;3;арендуем;Plur.1.Pres/Fut;_;_;_;_
арест;5243;_;N.Masc.Inan;B2;LM;1;ареста;Gen.Sing;_;_;_;_
арест;5244;_;N.Masc.Inan;B2;LM;2;арест;Acc.Sing;_;_;_;_
арест;5245;_;N.Masc.Inan;B2;LM;3;арестом;Ins.Sing;_;_;_;_
арестованный;5246;_;N.Masc.Anim;B2;LM;1;арестованных;Acc.Plur;_;_;_;_
